,0,1,2,3,4,5,6,7,8,9,10
62,62.0,62.0,0.493,-0.874,9.848,-0.003,-0.005,0.0,55.62,-44.7,-13.14
63,63.0,63.0,0.498,-0.9,9.659,0.003,0.005,-0.0,55.8,-44.52,-13.08
64,64.0,64.0,0.464,-0.874,9.826,-0.003,-0.004,0.001,55.8,-44.7,-13.26
65,65.0,65.0,0.486,-0.903,9.687,0.001,0.006,-0.001,55.68,-44.4,-12.42
66,66.0,66.0,0.481,-0.912,9.773,0.001,-0.005,-0.001,55.08,-44.34,-12.42
67,67.0,67.0,0.517,-0.915,9.721,-0.002,0.005,0.001,55.2,-44.7,-13.8
68,68.0,68.0,0.479,-0.903,9.764,0.001,-0.005,0.0,55.2,-44.82,-13.44
69,69.0,69.0,0.476,-0.893,9.8,-0.0,0.001,-0.0,55.02,-44.88,-12.9
70,70.0,70.0,0.493,-0.922,9.709,0.001,0.002,0.0,54.12,-45.06,-12.66
71,71.0,71.0,0.486,-0.888,9.785,-0.0,-0.003,-0.001,53.7,-45.06,-12.12
72,72.0,72.0,0.498,-0.912,9.738,-0.0,0.003,0.0,54.54,-45.12,-12.9
73,73.0,73.0,0.505,-0.919,9.733,0.001,-0.003,-0.0,54.66,-45.18,-12.9
74,74.0,74.0,0.515,-0.919,9.735,-0.001,-0.0,-0.0,54.06,-44.94,-12.24
75,75.0,75.0,0.484,-0.883,9.757,0.002,0.001,-0.0,54.9,-44.46,-12.66
76,76.0,76.0,0.469,-0.888,9.754,-0.0,0.0,-0.0,54.84,-44.82,-12.72
77,77.0,77.0,0.464,-0.891,9.764,0.002,0.002,0.0,53.52,-44.82,-12.24
78,78.0,78.0,0.467,-0.893,9.773,-0.001,0.002,-0.0,54.12,-44.1,-12.18
79,79.0,79.0,0.467,-0.907,9.769,0.002,0.001,0.0,54.84,-44.22,-12.66
80,80.0,80.0,0.472,-0.893,9.776,-0.001,0.0,0.0,55.26,-45.06,-12.72
81,81.0,81.0,0.493,-0.907,9.752,-0.0,0.0,-0.0,54.42,-45.48,-12.78
82,82.0,82.0,0.409,-1.075,9.659,0.001,0.001,-0.0,54.3,-45.54,-12.66
83,83.0,83.0,0.421,-0.723,9.74,0.003,0.044,0.013,54.36,-45.48,-12.3
84,84.0,84.0,0.646,-0.702,10.075,-0.006,-0.008,-0.001,54.18,-44.94,-12.18
