,0,1,2,3,4,5,6,7,8,9,10
61,61.0,61.0,14.014,-78.343,-50.617,5.503,0.589,-18.807,-13.38,-29.94,5.58
62,62.0,62.0,-0.254,-49.296,-34.633,-0.9,1.765,-14.235,18.42,-26.7,11.22
63,63.0,63.0,-2.521,-24.165,-16.518,-2.008,0.683,-9.307,33.12,-6.48,10.5
64,64.0,64.0,-5.361,-12.208,-10.815,-2.317,-0.122,-5.883,32.04,10.8,9.48
65,65.0,65.0,-8.459,-7.506,-8.799,-2.885,0.036,-2.619,26.1,19.38,10.86
66,66.0,66.0,-6.556,-6.891,-4.956,-2.752,0.42,-1.205,20.7,20.76,12.9
67,67.0,67.0,-7.769,-5.631,-2.627,-1.327,-0.083,-0.765,17.58,19.68,15.66
68,68.0,68.0,-9.52,-3.867,-3.864,-0.668,0.683,0.371,15.06,19.5,16.5
69,69.0,69.0,-7.81,-3.651,-3.45,0.19,0.586,1.519,16.68,18.72,18.12
70,70.0,70.0,-7.911,-3.132,-3.965,1.086,0.453,2.808,17.1,16.38,19.02
71,71.0,71.0,-6.414,-3.175,-8.425,0.424,1.613,5.174,20.88,13.2,19.8
72,72.0,72.0,-2.67,-6.682,-7.678,0.171,0.587,7.554,22.14,5.7,23.82
73,73.0,73.0,2.82,-11.045,-12.295,-0.665,-0.402,9.764,19.92,-5.7,27.24
74,74.0,74.0,14.074,-18.776,-17.315,-2.665,-1.537,10.285,9.6,-18.9,29.34
75,75.0,75.0,17.294,-25.899,-19.619,-3.924,-2.168,10.633,-2.1,-24.9,26.22
76,76.0,76.0,17.907,-36.206,-19.999,-7.998,-1.287,9.957,-14.46,-25.62,20.1
77,77.0,77.0,21.319,-35.668,-14.464,-7.1,-2.309,7.092,-24.78,-22.14,10.26
78,78.0,78.0,13.14,-29.732,-11.37,-7.145,0.663,5.821,-30.3,-13.92,4.56
79,79.0,79.0,15.326,-22.87,-2.828,-5.672,-1.465,2.634,-31.98,-3.78,-0.3
80,80.0,80.0,10.238,-14.686,0.163,-3.645,-0.933,2.236,-32.46,2.1,1.08
81,81.0,81.0,9.996,-9.647,1.702,-2.118,-0.083,2.53,-31.38,7.26,4.26
82,82.0,82.0,10.877,-10.456,4.247,-1.146,-0.548,2.449,-29.28,11.88,5.46
